,MAE,MSE,RMSE,R²,MAE change vs Linear (%),RMSE change vs Linear (%)
Linear Regression,288.8822021484375,111327.890625,333.65834415611425,-0.0023239850997924805,0.0,0.0
Random Forest,285.913403635762,109396.5364334002,330.7514723072298,0.015064735357952275,-1.0276848108316605,-0.8712120945863047
Capstone DNN,290.9320983886719,113517.2265625,336.923176054275,-0.02203524112701416,0.7095958923703678,0.9784955045611547
