feature,importance
neighbourhood_Pelham Bay,0.00022697156337866934
neighbourhood_Highbridge,0.00021847543294874257
neighbourhood_Parkchester,0.00020602867286066245
neighbourhood_Kew Gardens Hills,0.00020414131499177024
neighbourhood_Belmont,0.00020344541292172217
neighbourhood_Morrisania,0.00020267824891296316
neighbourhood_Fort Hamilton,0.00020263903221802657
neighbourhood_Riverdale,0.00020153368306113768
neighbourhood_Navy Yard,0.0001990978791410832
neighbourhood_Hollis,0.00019654689748930626
neighbourhood_Pelham Gardens,0.00019581154201374853
neighbourhood_Concourse Village,0.00019114299603087946
neighbourhood_Far Rockaway,0.00019012987676883558
neighbourhood_Castleton Corners,0.00018832676156586218
cancellation_policy_Unknown,0.00018821504069430227
neighbourhood_East Morrisania,0.00018598158691195151
neighbourhood_Williamsbridge,0.00018489132811908257
neighbourhood_Morris Park,0.00016723976735430305
neighbourhood_Mount Hope,0.00016560069371754195
neighbourhood_Clifton,0.00016413731085916796
neighbourhood_Shore Acres,0.00016344571637720245
neighbourhood_Randall Manor,0.00016212284172717633
neighbourhood_Claremont Village,0.0001590649811103311
neighbourhood_Clason Point,0.00015819106506318836
neighbourhood_Marble Hill,0.00014637481122552255
neighbourhood_Stapleton,0.00014501045144802598
neighbourhood_Bath Beach,0.0001415702650477994
neighbourhood_Midland Beach,0.00014121905996407027
neighbourhood_Tremont,0.00013740332350683433
neighbourhood_Unionport,0.00013681773601926733
neighbourhood_University Heights,0.00013235732143830408
neighbourhood_Throgs Neck,0.000132033557764541
neighbourhood_Spuyten Duyvil,0.00012745118908586496
neighbourhood_Edenwald,0.00011615880233639193
neighbourhood_Bellerose,0.00011574954592311315
neighbourhood_Schuylerville,0.00011323970114533991
neighbourhood_Little Neck,0.00011162445805059135
neighbourhood_City Island,0.00011148925597614725
neighbourhood_Hunts Point,0.00011094051989485828
neighbourhood_Douglaston,0.00011068349018954588
neighbourhood_Van Nest,0.00010848507481038262
neighbourhood_Breezy Point,0.00010809378595760896
neighbourhood_Bronxdale,0.0001080455827180706
neighbourhood_Oakwood,0.00010736314271990612
